Número do Cenário,Quantidade de execuções,Média do Tempo de Execução (DP),Média do Tempo de Execução (Gulosa),Média do uso de memória (DP),Média do uso de memória (Gulosa),Taxa de acerto
01,100000,17690.63,2326.01,4284.0,160.0,52.81
02,100000,146439.34,6739.65,41004.0,400.0,38.8
03,100000,7560851.11,93164.2,2006004.0,4000.0,22.64
04,10073,150947986.65,437270.46,40028004.0,16000.0,16.41
05,10581,37566062.97,7243.68,10200204.0,400.0,100.0
06,1416,1515083823.63,15813.48,404000404.0,800.0,100.0
07,100000,624632.65,6829.39,204204.0,400.0,46.35
08,100000,262564.94,14992.83,81204.0,800.0,40.91
09,100000,5741379.23,32864.98,1608804.0,1600.0,27.32
10,1119,761669798.19,1212304.22,200060004.0,40000.0,10.72
